region,svg_id,year,gender,age_min,age_max,age_group,population
,,2025,jami,0,,total,38097457
,,2025,jami,0,4,0-4,4505637
,,2025,jami,5,9,5-9,3747877
,,2025,jami,10,14,10-14,3330421
,,2025,jami,15,19,15-19,3063705
,,2025,jami,20,24,20-24,2573820
,,2025,jami,25,29,25-29,2764388
,,2025,jami,30,34,30-34,3185469
,,2025,jami,35,39,35-39,3031991
,,2025,jami,40,44,40-44,2574235
,,2025,jami,45,49,45-49,2111652
,,2025,jami,50,54,50-54,1862688
,,2025,jami,55,59,55-59,1560153
,,2025,jami,60,64,60-64,1426157
,,2025,jami,65,69,65-69,1093926
,,2025,jami,70,74,70-74,642543
,,2025,jami,75,79,75-79,360703
,,2025,jami,80,84,80-84,162535
,,2025,jami,85,,85+,99556
Buxoro,bukhara,2025,jami,0,,total,2104529
Buxoro,bukhara,2025,jami,0,4,0-4,219699
Buxoro,bukhara,2025,jami,5,9,5-9,192990
Buxoro,bukhara,2025,jami,10,14,10-14,175053
Buxoro,bukhara,2025,jami,15,19,15-19,161405
Buxoro,bukhara,2025,jami,20,24,20-24,140841
Buxoro,bukhara,2025,jami,25,29,25-29,144960
Buxoro,bukhara,2025,jami,30,34,30-34,174755
Buxoro,bukhara,2025,jami,35,39,35-39,170427
Buxoro,bukhara,2025,jami,40,44,40-44,146334
Buxoro,bukhara,2025,jami,45,49,45-49,123987
Buxoro,bukhara,2025,jami,50,54,50-54,116594
Buxoro,bukhara,2025,jami,55,59,55-59,97953
Buxoro,bukhara,2025,jami,60,64,60-64,91214
Buxoro,bukhara,2025,jami,65,69,65-69,68177
Buxoro,bukhara,2025,jami,70,74,70-74,41295
Buxoro,bukhara,2025,jami,75,79,75-79,21363
Buxoro,bukhara,2025,jami,80,84,80-84,10695
Buxoro,bukhara,2025,jami,85,,85+,6787
Toshkent,tashkent,2025,ayol,0,,total,1528720
Toshkent,tashkent,2025,ayol,0,4,0-4,162916
Toshkent,tashkent,2025,ayol,5,9,5-9,130376
Toshkent,tashkent,2025,ayol,10,14,10-14,123582
Toshkent,tashkent,2025,ayol,15,19,15-19,117415
Toshkent,tashkent,2025,ayol,20,24,20-24,99194
Toshkent,tashkent,2025,ayol,25,29,25-29,110635
Toshkent,tashkent,2025,ayol,30,34,30-34,122549
Toshkent,tashkent,2025,ayol,35,39,35-39,124981
Toshkent,tashkent,2025,ayol,40,44,40-44,103482
Toshkent,tashkent,2025,ayol,45,49,45-49,87852
Toshkent,tashkent,2025,ayol,50,54,50-54,77257
Toshkent,tashkent,2025,ayol,55,59,55-59,72780
Toshkent,tashkent,2025,ayol,60,64,60-64,71252
Toshkent,tashkent,2025,ayol,65,69,65-69,54085
Toshkent,tashkent,2025,ayol,70,74,70-74,35081
Toshkent,tashkent,2025,ayol,75,79,75-79,18975
Toshkent,tashkent,2025,ayol,80,84,80-84,10371
Toshkent,tashkent,2025,ayol,85,,85+,5936
Farg'ona,fergana,2025,jami,0,,total,4196253
Farg'ona,fergana,2025,jami,0,4,0-4,483013
Farg'ona,fergana,2025,jami,5,9,5-9,408420
Farg'ona,fergana,2025,jami,10,14,10-14,356746
Farg'ona,fergana,2025,jami,15,19,15-19,331335
Farg'ona,fergana,2025,jami,20,24,20-24,271298
Farg'ona,fergana,2025,jami,25,29,25-29,297921
Farg'ona,fergana,2025,jami,30,34,30-34,361848
Farg'ona,fergana,2025,jami,35,39,35-39,325779
Farg'ona,fergana,2025,jami,40,44,40-44,273696
Farg'ona,fergana,2025,jami,45,49,45-49,238826
Farg'ona,fergana,2025,jami,50,54,50-54,218817
Farg'ona,fergana,2025,jami,55,59,55-59,185980
Farg'ona,fergana,2025,jami,60,64,60-64,166831
Farg'ona,fergana,2025,jami,65,69,65-69,128782
Farg'ona,fergana,2025,jami,70,74,70-74,73096
Farg'ona,fergana,2025,jami,75,79,75-79,41550
Farg'ona,fergana,2025,jami,80,84,80-84,19375
Farg'ona,fergana,2025,jami,85,,85+,12940
Surxondaryo,surkhandarya,2025,jami,0,,total,2947513
Surxondaryo,surkhandarya,2025,jami,0,4,0-4,395624
Surxondaryo,surkhandarya,2025,jami,5,9,5-9,316947
Surxondaryo,surkhandarya,2025,jami,10,14,10-14,273216
Surxondaryo,surkhandarya,2025,jami,15,19,15-19,232723
Surxondaryo,surkhandarya,2025,jami,20,24,20-24,209230
Surxondaryo,surkhandarya,2025,jami,25,29,25-29,246211
Surxondaryo,surkhandarya,2025,jami,30,34,30-34,254638
Surxondaryo,surkhandarya,2025,jami,35,39,35-39,229724
Surxondaryo,surkhandarya,2025,jami,40,44,40-44,181788
Surxondaryo,surkhandarya,2025,jami,45,49,45-49,144431
Surxondaryo,surkhandarya,2025,jami,50,54,50-54,127137
Surxondaryo,surkhandarya,2025,jami,55,59,55-59,106445
Surxondaryo,surkhandarya,2025,jami,60,64,60-64,93616
Surxondaryo,surkhandarya,2025,jami,65,69,65-69,65768
Surxondaryo,surkhandarya,2025,jami,70,74,70-74,36147
Surxondaryo,surkhandarya,2025,jami,75,79,75-79,17971
Surxondaryo,surkhandarya,2025,jami,80,84,80-84,9445
Surxondaryo,surkhandarya,2025,jami,85,,85+,6453
Surxondaryo,surkhandarya,2025,ayol,0,,total,1456776
Surxondaryo,surkhandarya,2025,ayol,0,4,0-4,191112
Surxondaryo,surkhandarya,2025,ayol,5,9,5-9,151654
Surxondaryo,surkhandarya,2025,ayol,10,14,10-14,132631
Surxondaryo,surkhandarya,2025,ayol,15,19,15-19,112672
Surxondaryo,surkhandarya,2025,ayol,20,24,20-24,102645
Surxondaryo,surkhandarya,2025,ayol,25,29,25-29,120611
Surxondaryo,surkhandarya,2025,ayol,30,34,30-34,125260
Surxondaryo,surkhandarya,2025,ayol,35,39,35-39,115697
Surxondaryo,surkhandarya,2025,ayol,40,44,40-44,91934
Surxondaryo,surkhandarya,2025,ayol,45,49,45-49,73232
Surxondaryo,surkhandarya,2025,ayol,50,54,50-54,64752
Surxondaryo,surkhandarya,2025,ayol,55,59,55-59,54443
Surxondaryo,surkhandarya,2025,ayol,60,64,60-64,48687
Surxondaryo,surkhandarya,2025,ayol,65,69,65-69,33848
Surxondaryo,surkhandarya,2025,ayol,70,74,70-74,18922
Surxondaryo,surkhandarya,2025,ayol,75,79,75-79,9807
Surxondaryo,surkhandarya,2025,ayol,80,84,80-84,5234
Surxondaryo,surkhandarya,2025,ayol,85,,85+,3635
Xorazm,khorezm,2025,erkak,0,,total,1033564
Xorazm,khorezm,2025,erkak,0,4,0-4,116083
Xorazm,khorezm,2025,erkak,5,9,5-9,100690
Xorazm,khorezm,2025,erkak,10,14,10-14,93946
Xorazm,khorezm,2025,erkak,15,19,15-19,89241
Xorazm,khorezm,2025,erkak,20,24,20-24,74897
Xorazm,khorezm,2025,erkak,25,29,25-29,77894
Xorazm,khorezm,2025,erkak,30,34,30-34,86830
Xorazm,khorezm,2025,erkak,35,39,35-39,82068
Xorazm,khorezm,2025,erkak,40,44,40-44,73063
Xorazm,khorezm,2025,erkak,45,49,45-49,61333
Xorazm,khorezm,2025,erkak,50,54,50-54,55584
Xorazm,khorezm,2025,erkak,55,59,55-59,39050
Xorazm,khorezm,2025,erkak,60,64,60-64,33184
Xorazm,khorezm,2025,erkak,65,69,65-69,24702
Xorazm,khorezm,2025,erkak,70,74,70-74,13575
Xorazm,khorezm,2025,erkak,75,79,75-79,6711
Xorazm,khorezm,2025,erkak,80,84,80-84,2769
Xorazm,khorezm,2025,erkak,85,,85+,1945
Jizzax,jizzakh,2025,erkak,0,,total,795308
Jizzax,jizzakh,2025,erkak,0,4,0-4,105515
Jizzax,jizzakh,2025,erkak,5,9,5-9,85525
Jizzax,jizzakh,2025,erkak,10,14,10-14,71226
Jizzax,jizzakh,2025,erkak,15,19,15-19,66154
Jizzax,jizzakh,2025,erkak,20,24,20-24,58625
Jizzax,jizzakh,2025,erkak,25,29,25-29,60753
Jizzax,jizzakh,2025,erkak,30,34,30-34,70761
Jizzax,jizzakh,2025,erkak,35,39,35-39,65052
Jizzax,jizzakh,2025,erkak,40,44,40-44,48918
Jizzax,jizzakh,2025,erkak,45,49,45-49,39428
Jizzax,jizzakh,2025,erkak,50,54,50-54,32945
Jizzax,jizzakh,2025,erkak,55,59,55-59,25195
Jizzax,jizzakh,2025,erkak,60,64,60-64,24576
Jizzax,jizzakh,2025,erkak,65,69,65-69,19156
Jizzax,jizzakh,2025,erkak,70,74,70-74,11317
Jizzax,jizzakh,2025,erkak,75,79,75-79,6101
Jizzax,jizzakh,2025,erkak,80,84,80-84,2739
Jizzax,jizzakh,2025,erkak,85,,85+,1322
Andijon,andijan,2025,ayol,0,,total,1733580
Andijon,andijan,2025,ayol,0,4,0-4,203604
Andijon,andijan,2025,ayol,5,9,5-9,169457
Andijon,andijan,2025,ayol,10,14,10-14,149574
Andijon,andijan,2025,ayol,15,19,15-19,138298
Andijon,andijan,2025,ayol,20,24,20-24,108645
Andijon,andijan,2025,ayol,25,29,25-29,119008
Andijon,andijan,2025,ayol,30,34,30-34,144600
Andijon,andijan,2025,ayol,35,39,35-39,131405
Andijon,andijan,2025,ayol,40,44,40-44,114783
Andijon,andijan,2025,ayol,45,49,45-49,96508
Andijon,andijan,2025,ayol,50,54,50-54,92595
Andijon,andijan,2025,ayol,55,59,55-59,79766
Andijon,andijan,2025,ayol,60,64,60-64,71469
Andijon,andijan,2025,ayol,65,69,65-69,53601
Andijon,andijan,2025,ayol,70,74,70-74,31122
Andijon,andijan,2025,ayol,75,79,75-79,16485
Andijon,andijan,2025,ayol,80,84,80-84,7593
Andijon,andijan,2025,ayol,85,,85+,5087
Qoraqalpog'iston,karakalpakstan,2025,jami,0,,total,2064307
Qoraqalpog'iston,karakalpakstan,2025,jami,0,4,0-4,216174
Qoraqalpog'iston,karakalpakstan,2025,jami,5,9,5-9,187953
Qoraqalpog'iston,karakalpakstan,2025,jami,10,14,10-14,189154
Qoraqalpog'iston,karakalpakstan,2025,jami,15,19,15-19,178201
Qoraqalpog'iston,karakalpakstan,2025,jami,20,24,20-24,150902
Qoraqalpog'iston,karakalpakstan,2025,jami,25,29,25-29,155586
Qoraqalpog'iston,karakalpakstan,2025,jami,30,34,30-34,167287
Qoraqalpog'iston,karakalpakstan,2025,jami,35,39,35-39,174174
Qoraqalpog'iston,karakalpakstan,2025,jami,40,44,40-44,148988
Qoraqalpog'iston,karakalpakstan,2025,jami,45,49,45-49,121839
Qoraqalpog'iston,karakalpakstan,2025,jami,50,54,50-54,104350
Qoraqalpog'iston,karakalpakstan,2025,jami,55,59,55-59,83174
Qoraqalpog'iston,karakalpakstan,2025,jami,60,64,60-64,74400
Qoraqalpog'iston,karakalpakstan,2025,jami,65,69,65-69,53167
Qoraqalpog'iston,karakalpakstan,2025,jami,70,74,70-74,29621
Qoraqalpog'iston,karakalpakstan,2025,jami,75,79,75-79,18044
Qoraqalpog'iston,karakalpakstan,2025,jami,80,84,80-84,7611
Qoraqalpog'iston,karakalpakstan,2025,jami,85,,85+,3681
Qashqadaryo,kashkadarya,2025,jami,0,,total,3727757
Qashqadaryo,kashkadarya,2025,jami,0,4,0-4,484642
Qashqadaryo,kashkadarya,2025,jami,5,9,5-9,394813
Qashqadaryo,kashkadarya,2025,jami,10,14,10-14,349540
Qashqadaryo,kashkadarya,2025,jami,15,19,15-19,299500
Qashqadaryo,kashkadarya,2025,jami,20,24,20-24,260668
Qashqadaryo,kashkadarya,2025,jami,25,29,25-29,287121
Qashqadaryo,kashkadarya,2025,jami,30,34,30-34,317593
Qashqadaryo,kashkadarya,2025,jami,35,39,35-39,296053
Qashqadaryo,kashkadarya,2025,jami,40,44,40-44,241904
Qashqadaryo,kashkadarya,2025,jami,45,49,45-49,189876
Qashqadaryo,kashkadarya,2025,jami,50,54,50-54,158144
Qashqadaryo,kashkadarya,2025,jami,55,59,55-59,129948
Qashqadaryo,kashkadarya,2025,jami,60,64,60-64,121993
Qashqadaryo,kashkadarya,2025,jami,65,69,65-69,93638
Qashqadaryo,kashkadarya,2025,jami,70,74,70-74,53655
Qashqadaryo,kashkadarya,2025,jami,75,79,75-79,27497
Qashqadaryo,kashkadarya,2025,jami,80,84,80-84,12141
Qashqadaryo,kashkadarya,2025,jami,85,,85+,9032
Qashqadaryo,kashkadarya,2025,erkak,0,,total,1888465
Qashqadaryo,kashkadarya,2025,erkak,0,4,0-4,249980
Qashqadaryo,kashkadarya,2025,erkak,5,9,5-9,206250
Qashqadaryo,kashkadarya,2025,erkak,10,14,10-14,181457
Qashqadaryo,kashkadarya,2025,erkak,15,19,15-19,153385
Qashqadaryo,kashkadarya,2025,erkak,20,24,20-24,132898
Qashqadaryo,kashkadarya,2025,erkak,25,29,25-29,148635
Qashqadaryo,kashkadarya,2025,erkak,30,34,30-34,161864
Qashqadaryo,kashkadarya,2025,erkak,35,39,35-39,151101
Qashqadaryo,kashkadarya,2025,erkak,40,44,40-44,120332
Qashqadaryo,kashkadarya,2025,erkak,45,49,45-49,94625
Qashqadaryo,kashkadarya,2025,erkak,50,54,50-54,77380
Qashqadaryo,kashkadarya,2025,erkak,55,59,55-59,60293
Qashqadaryo,kashkadarya,2025,erkak,60,64,60-64,57742
Qashqadaryo,kashkadarya,2025,erkak,65,69,65-69,45084
Qashqadaryo,kashkadarya,2025,erkak,70,74,70-74,25810
Qashqadaryo,kashkadarya,2025,erkak,75,79,75-79,12407
Qashqadaryo,kashkadarya,2025,erkak,80,84,80-84,5348
Qashqadaryo,kashkadarya,2025,erkak,85,,85+,3875
Respublika,respublika,2025,erkak,0,,total,19178139
Respublika,respublika,2025,erkak,0,4,0-4,2320588
Respublika,respublika,2025,erkak,5,9,5-9,1949252
Respublika,respublika,2025,erkak,10,14,10-14,1727729
Respublika,respublika,2025,erkak,15,19,15-19,1576288
Respublika,respublika,2025,erkak,20,24,20-24,1314858
Respublika,respublika,2025,erkak,25,29,25-29,1407305
Respublika,respublika,2025,erkak,30,34,30-34,1620268
Respublika,respublika,2025,erkak,35,39,35-39,1534411
Respublika,respublika,2025,erkak,40,44,40-44,1285985
Respublika,respublika,2025,erkak,45,49,45-49,1049505
Respublika,respublika,2025,erkak,50,54,50-54,920339
Respublika,respublika,2025,erkak,55,59,55-59,746816
Respublika,respublika,2025,erkak,60,64,60-64,670242
Respublika,respublika,2025,erkak,65,69,65-69,508590
Respublika,respublika,2025,erkak,70,74,70-74,290460
Respublika,respublika,2025,erkak,75,79,75-79,153788
Respublika,respublika,2025,erkak,80,84,80-84,65295
Respublika,respublika,2025,erkak,85,,85+,36420
Toshkent,tashkent,2025,jami,0,,total,3070235
Toshkent,tashkent,2025,jami,0,4,0-4,336047
Toshkent,tashkent,2025,jami,5,9,5-9,272282
Toshkent,tashkent,2025,jami,10,14,10-14,257425
Toshkent,tashkent,2025,jami,15,19,15-19,242093
Toshkent,tashkent,2025,jami,20,24,20-24,202443
Toshkent,tashkent,2025,jami,25,29,25-29,227220
Toshkent,tashkent,2025,jami,30,34,30-34,252826
Toshkent,tashkent,2025,jami,35,39,35-39,257865
Toshkent,tashkent,2025,jami,40,44,40-44,208623
Toshkent,tashkent,2025,jami,45,49,45-49,174458
Toshkent,tashkent,2025,jami,50,54,50-54,152191
Toshkent,tashkent,2025,jami,55,59,55-59,136973
Toshkent,tashkent,2025,jami,60,64,60-64,132744
Toshkent,tashkent,2025,jami,65,69,65-69,98459
Toshkent,tashkent,2025,jami,70,74,70-74,61634
Toshkent,tashkent,2025,jami,75,79,75-79,31979
Toshkent,tashkent,2025,jami,80,84,80-84,16466
Toshkent,tashkent,2025,jami,85,,85+,8506
Respublika,respublika,2025,ayol,0,,total,18919317
Respublika,respublika,2025,ayol,0,4,0-4,2185049
Respublika,respublika,2025,ayol,5,9,5-9,1798625
Respublika,respublika,2025,ayol,10,14,10-14,1602692
Respublika,respublika,2025,ayol,15,19,15-19,1487417
Respublika,respublika,2025,ayol,20,24,20-24,1258962
Respublika,respublika,2025,ayol,25,29,25-29,1357083
Respublika,respublika,2025,ayol,30,34,30-34,1565201
Respublika,respublika,2025,ayol,35,39,35-39,1497580
Respublika,respublika,2025,ayol,40,44,40-44,1288250
Respublika,respublika,2025,ayol,45,49,45-49,1062147
Respublika,respublika,2025,ayol,50,54,50-54,942348
Respublika,respublika,2025,ayol,55,59,55-59,813338
Respublika,respublika,2025,ayol,60,64,60-64,755915
Respublika,respublika,2025,ayol,65,69,65-69,585336
Respublika,respublika,2025,ayol,70,74,70-74,352083
Respublika,respublika,2025,ayol,75,79,75-79,206915
Respublika,respublika,2025,ayol,80,84,80-84,97239
Respublika,respublika,2025,ayol,85,,85+,63136
Samarqand,samarkand,2025,jami,0,,total,4297013
Samarqand,samarkand,2025,jami,0,4,0-4,540921
Samarqand,samarkand,2025,jami,5,9,5-9,441053
Samarqand,samarkand,2025,jami,10,14,10-14,393638
Samarqand,samarkand,2025,jami,15,19,15-19,352958
Samarqand,samarkand,2025,jami,20,24,20-24,300474
Samarqand,samarkand,2025,jami,25,29,25-29,339523
Samarqand,samarkand,2025,jami,30,34,30-34,368942
Samarqand,samarkand,2025,jami,35,39,35-39,337706
Samarqand,samarkand,2025,jami,40,44,40-44,270959
Samarqand,samarkand,2025,jami,45,49,45-49,216386
Samarqand,samarkand,2025,jami,50,54,50-54,181288
Samarqand,samarkand,2025,jami,55,59,55-59,158555
Samarqand,samarkand,2025,jami,60,64,60-64,154441
Samarqand,samarkand,2025,jami,65,69,65-69,114975
Samarqand,samarkand,2025,jami,70,74,70-74,65406
Samarqand,samarkand,2025,jami,75,79,75-79,34608
Samarqand,samarkand,2025,jami,80,84,80-84,17083
Samarqand,samarkand,2025,jami,85,,85+,8098
Farg'ona,fergana,2025,erkak,0,,total,2079924
Farg'ona,fergana,2025,erkak,0,4,0-4,247667
Farg'ona,fergana,2025,erkak,5,9,5-9,204063
Farg'ona,fergana,2025,erkak,10,14,10-14,180431
Farg'ona,fergana,2025,erkak,15,19,15-19,163107
Farg'ona,fergana,2025,erkak,20,24,20-24,137984
Farg'ona,fergana,2025,erkak,25,29,25-29,163172
Farg'ona,fergana,2025,erkak,30,34,30-34,182358
Farg'ona,fergana,2025,erkak,35,39,35-39,162537
Farg'ona,fergana,2025,erkak,40,44,40-44,131127
Farg'ona,fergana,2025,erkak,45,49,45-49,116762
Farg'ona,fergana,2025,erkak,50,54,50-54,105967
Farg'ona,fergana,2025,erkak,55,59,55-59,88751
Farg'ona,fergana,2025,erkak,60,64,60-64,78935
Farg'ona,fergana,2025,erkak,65,69,65-69,56149
Farg'ona,fergana,2025,erkak,70,74,70-74,31651
Farg'ona,fergana,2025,erkak,75,79,75-79,16564
Farg'ona,fergana,2025,erkak,80,84,80-84,8347
Farg'ona,fergana,2025,erkak,85,,85+,4351
Toshkent Shahri,tashkent_city,2025,erkak,0,,total,1525311
Toshkent Shahri,tashkent_city,2025,erkak,0,4,0-4,167756
Toshkent Shahri,tashkent_city,2025,erkak,5,9,5-9,135653
Toshkent Shahri,tashkent_city,2025,erkak,10,14,10-14,120898
Toshkent Shahri,tashkent_city,2025,erkak,15,19,15-19,120421
Toshkent Shahri,tashkent_city,2025,erkak,20,24,20-24,99780
Toshkent Shahri,tashkent_city,2025,erkak,25,29,25-29,102562
Toshkent Shahri,tashkent_city,2025,erkak,30,34,30-34,110330
Toshkent Shahri,tashkent_city,2025,erkak,35,39,35-39,118163
Toshkent Shahri,tashkent_city,2025,erkak,40,44,40-44,117063
Toshkent Shahri,tashkent_city,2025,erkak,45,49,45-49,98069
Toshkent Shahri,tashkent_city,2025,erkak,50,54,50-54,89771
Toshkent Shahri,tashkent_city,2025,erkak,55,59,55-59,73758
Toshkent Shahri,tashkent_city,2025,erkak,60,64,60-64,62867
Toshkent Shahri,tashkent_city,2025,erkak,65,69,65-69,46904
Toshkent Shahri,tashkent_city,2025,erkak,70,74,70-74,31892
Toshkent Shahri,tashkent_city,2025,erkak,75,79,75-79,19222
Toshkent Shahri,tashkent_city,2025,erkak,80,84,80-84,6627
Toshkent Shahri,tashkent_city,2025,erkak,85,,85+,3576
Xorazm,khorezm,2025,ayol,0,,total,1031772
Xorazm,khorezm,2025,ayol,0,4,0-4,109101
Xorazm,khorezm,2025,ayol,5,9,5-9,93960
Xorazm,khorezm,2025,ayol,10,14,10-14,88314
Xorazm,khorezm,2025,ayol,15,19,15-19,85321
Xorazm,khorezm,2025,ayol,20,24,20-24,72712
Xorazm,khorezm,2025,ayol,25,29,25-29,76872
Xorazm,khorezm,2025,ayol,30,34,30-34,85587
Xorazm,khorezm,2025,ayol,35,39,35-39,82470
Xorazm,khorezm,2025,ayol,40,44,40-44,75124
Xorazm,khorezm,2025,ayol,45,49,45-49,63164
Xorazm,khorezm,2025,ayol,50,54,50-54,56383
Xorazm,khorezm,2025,ayol,55,59,55-59,43210
Xorazm,khorezm,2025,ayol,60,64,60-64,38192
Xorazm,khorezm,2025,ayol,65,69,65-69,28750
Xorazm,khorezm,2025,ayol,70,74,70-74,16701
Xorazm,khorezm,2025,ayol,75,79,75-79,9295
Xorazm,khorezm,2025,ayol,80,84,80-84,3616
Xorazm,khorezm,2025,ayol,85,,85+,3000
Namangan,namangan,2025,ayol,0,,total,1565451
Namangan,namangan,2025,ayol,0,4,0-4,189807
Namangan,namangan,2025,ayol,5,9,5-9,157699
Namangan,namangan,2025,ayol,10,14,10-14,132594
Namangan,namangan,2025,ayol,15,19,15-19,119584
Namangan,namangan,2025,ayol,20,24,20-24,100846
Namangan,namangan,2025,ayol,25,29,25-29,110725
Namangan,namangan,2025,ayol,30,34,30-34,134719
Namangan,namangan,2025,ayol,35,39,35-39,124169
Namangan,namangan,2025,ayol,40,44,40-44,104175
Namangan,namangan,2025,ayol,45,49,45-49,87236
Namangan,namangan,2025,ayol,50,54,50-54,81766
Namangan,namangan,2025,ayol,55,59,55-59,67001
Namangan,namangan,2025,ayol,60,64,60-64,59975
Namangan,namangan,2025,ayol,65,69,65-69,45724
Namangan,namangan,2025,ayol,70,74,70-74,25015
Namangan,namangan,2025,ayol,75,79,75-79,13936
Namangan,namangan,2025,ayol,80,84,80-84,6337
Namangan,namangan,2025,ayol,85,,85+,4145
Xorazm,khorezm,2025,jami,0,,total,2065336
Xorazm,khorezm,2025,jami,0,4,0-4,225184
Xorazm,khorezm,2025,jami,5,9,5-9,194649
Xorazm,khorezm,2025,jami,10,14,10-14,182260
Xorazm,khorezm,2025,jami,15,19,15-19,174561
Xorazm,khorezm,2025,jami,20,24,20-24,147610
Xorazm,khorezm,2025,jami,25,29,25-29,154766
Xorazm,khorezm,2025,jami,30,34,30-34,172417
Xorazm,khorezm,2025,jami,35,39,35-39,164537
Xorazm,khorezm,2025,jami,40,44,40-44,148187
Xorazm,khorezm,2025,jami,45,49,45-49,124498
Xorazm,khorezm,2025,jami,50,54,50-54,111968
Xorazm,khorezm,2025,jami,55,59,55-59,82260
Xorazm,khorezm,2025,jami,60,64,60-64,71376
Xorazm,khorezm,2025,jami,65,69,65-69,53452
Xorazm,khorezm,2025,jami,70,74,70-74,30277
Xorazm,khorezm,2025,jami,75,79,75-79,16006
Xorazm,khorezm,2025,jami,80,84,80-84,6385
Xorazm,khorezm,2025,jami,85,,85+,4944
Namangan,namangan,2025,jami,0,,total,3182575
Namangan,namangan,2025,jami,0,4,0-4,391279
Namangan,namangan,2025,jami,5,9,5-9,329707
Namangan,namangan,2025,jami,10,14,10-14,277482
Namangan,namangan,2025,jami,15,19,15-19,247802
Namangan,namangan,2025,jami,20,24,20-24,207185
Namangan,namangan,2025,jami,25,29,25-29,227088
Namangan,namangan,2025,jami,30,34,30-34,276999
Namangan,namangan,2025,jami,35,39,35-39,253185
Namangan,namangan,2025,jami,40,44,40-44,209658
Namangan,namangan,2025,jami,45,49,45-49,175063
Namangan,namangan,2025,jami,50,54,50-54,160637
Namangan,namangan,2025,jami,55,59,55-59,129668
Namangan,namangan,2025,jami,60,64,60-64,115860
Namangan,namangan,2025,jami,65,69,65-69,88824
Namangan,namangan,2025,jami,70,74,70-74,47274
Namangan,namangan,2025,jami,75,79,75-79,26011
Namangan,namangan,2025,jami,80,84,80-84,11872
Namangan,namangan,2025,jami,85,,85+,6982
Toshkent Shahri,tashkent_city,2025,ayol,0,,total,1578231
Toshkent Shahri,tashkent_city,2025,ayol,0,4,0-4,157929
Toshkent Shahri,tashkent_city,2025,ayol,5,9,5-9,125243
Toshkent Shahri,tashkent_city,2025,ayol,10,14,10-14,109974
Toshkent Shahri,tashkent_city,2025,ayol,15,19,15-19,112090
Toshkent Shahri,tashkent_city,2025,ayol,20,24,20-24,98598
Toshkent Shahri,tashkent_city,2025,ayol,25,29,25-29,106802
Toshkent Shahri,tashkent_city,2025,ayol,30,34,30-34,114626
Toshkent Shahri,tashkent_city,2025,ayol,35,39,35-39,122323
Toshkent Shahri,tashkent_city,2025,ayol,40,44,40-44,114570
Toshkent Shahri,tashkent_city,2025,ayol,45,49,45-49,98369
Toshkent Shahri,tashkent_city,2025,ayol,50,54,50-54,86667
Toshkent Shahri,tashkent_city,2025,ayol,55,59,55-59,81250
Toshkent Shahri,tashkent_city,2025,ayol,60,64,60-64,74441
Toshkent Shahri,tashkent_city,2025,ayol,65,69,65-69,64595
Toshkent Shahri,tashkent_city,2025,ayol,70,74,70-74,48362
